,id,full_name,first_name,last_name,is_active
3689,2091,Daniel Santiago,Daniel,Santiago,False
3690,78061,Bob Santini,Bob,Santini,False
3691,78062,Wayne Sappleton,Wayne,Sappleton,False
3692,203967,Dario Saric,Dario,Saric,True
3693,987,Jason Sasser,Jason,Sasser,False
3694,2219,Jeryl Sasser,Jeryl,Sasser,False
3695,203107,Tomas Satoransky,Tomas,Satoransky,True
3696,2261,Kenny Satterfield,Kenny,Satterfield,False
3697,78063,Frank Saul,Frank,Saul,False
3698,78064,Woody Sauldsberry,Woody,Sauldsberry,False
3699,78065,Fred Saunders,Fred,Saunders,False
3700,78066,Don Savage,Don,Savage,False
3701,2453,Predrag Savovic,Predrag,Savovic,False
3702,78067,Alan Sawyer,Alan,Sawyer,False
3703,2243,Brian Scalabrine,Brian,Scalabrine,False
3704,2637,Alex Scales,Alex,Scales,False
3705,78068,Dewayne Scales,Dewayne,Scales,False
3706,78069,Frank Schade,Frank,Schade,False
3707,78070,Ben Schadler,Ben,Schadler,False
3708,78071,Herm Schaefer,Herm,Schaefer,False
3709,78072,Bob Schafer,Bob,Schafer,False
3710,1630648,Jordan Schakel,Jordan,Schakel,True
3711,78073,Ben Scharnus,Ben,Scharnus,False
3712,78074,Marv Schatzman,Marv,Schatzman,False
3713,78075,Fred Schaus,Fred,Schaus,False
3714,7,Dan Schayes,Dan,Schayes,False
3715,78076,Dolph Schayes,Dolph,Schayes,False
3716,78078,Ossie Schectman,Ossie,Schectman,False
3717,88,Steve Scheffler,Steve,Scheffler,False
3718,78080,Tom Scheffler,Tom,Scheffler,False
3719,78081,Dave Schellhase,Dave,Schellhase,False
3720,101195,Luke Schenscher,Luke,Schenscher,False
3721,78082,Herb Scherer,Herb,Scherer,False
3722,368,Dwayne Schintzius,Dwayne,Schintzius,False
3723,78084,Dale Schlueter,Dale,Schlueter,False
3724,78085,Otto Schnellbacher,Otto,Schnellbacher,False
3725,78086,Dick Schnittker,Dick,Schnittker,False
3726,78087,Russ Schoene,Russ,Schoene,False
3727,1629678,Admiral Schofield,Admiral,Schofield,True
3728,78088,Dave Scholz,Dave,Scholz,False
3729,78089,Milt Schoon,Milt,Schoon,False
3730,96,Detlef Schrempf,Detlef,Schrempf,False
3731,203471,Dennis Schroder,Dennis,Schroder,True
3732,78091,Howie Schultz,Howie,Schultz,False
3733,78092,Dick Schulz,Dick,Schulz,False
3734,78093,John Schweitz,John,Schweitz,False
3735,2449,Luis Scola,Luis,Scola,False
3736,78094,Freddie Scolari,Freddie,Scolari,False
3737,78095,Alvin Scott,Alvin,Scott,False
3738,1064,Brent Scott,Brent,Scott,False
3739,2,Byron Scott,Byron,Scott,False
3740,78097,Charlie Scott,Charlie,Scott,False
3741,192,Dennis Scott,Dennis,Scott,False
3742,1109,James Scott,James,Scott,False
3743,203118,Mike Scott,Mike,Scott,False
3744,78100,Ray Scott,Ray,Scott,False
3745,1035,Shawnelle Scott,Shawnelle,Scott,False
3746,1630206,Jay Scrubb,Jay,Scrubb,True
3747,78102,Carey Scurry,Carey,Scurry,False
3748,78103,Bruce Seals,Bruce,Seals,False
3749,1578,Shea Seals,Shea,Seals,False
3750,907,Malik Sealy,Malik,Sealy,False
3751,78105,Ed Searcy,Ed,Searcy,False
3752,78106,Ken Sears,Ken,Sears,False
3753,78107,Wayne See,Wayne,See,False
3754,200757,Thabo Sefolosha,Thabo,Sefolosha,False
3755,938,Rony Seikaly,Rony,Seikaly,False
3756,78109,Glen Selbo,Glen,Selbo,False
3757,202729,Josh Selby,Josh,Selby,False
3758,1627782,Wayne Selden,Wayne,Selden,True
3759,78110,Brad Sellers,Brad,Sellers,False
3760,78111,Phil Sellers,Phil,Sellers,False
3761,78112,Rollie Seltz,Rollie,Seltz,False
3762,78113,Frank Selvy,Frank,Selvy,False
3763,78114,Jim Seminoff,Jim,Seminoff,False
3764,200754,Mouhamed Sene,Mouhamed,Sene,False
3765,78115,George Senesky,George,Senesky,False
3766,1630578,Alperen Sengun,Alperen,Sengun,True
3767,202338,Kevin Seraphin,Kevin,Seraphin,False
3768,1738,Ansu Sesay,Ansu,Sesay,False
3769,201196,Ramon Sessions,Ramon,Sessions,False
3770,78116,Tom Sewell,Tom,Sewell,False
3771,1629012,Collin Sexton,Collin,Sexton,True
3772,78117,Paul Seymour,Paul,Seymour,False
3773,78118,Nick Shaback,Nick,Shaback,False
3774,1593,Charles Shackleford,Charles,Shackleford,False
3775,78120,Carl Shaeffer,Carl,Shaeffer,False
3776,78121,Lee Shaffer,Lee,Shaffer,False
3777,201203,Mustafa Shakur,Mustafa,Shakur,False
3778,1629013,Landry Shamet,Landry,Shamet,True
3779,1539,God Shammgod,God,Shammgod,False
3780,78123,Earl Shannon,Earl,Shannon,False
3781,78124,Howie Shannon,Howie,Shannon,False
3782,78125,Charlie Share,Charlie,Share,False
3783,78126,Bill Sharman,Bill,Sharman,False
3784,1630549,Day'Ron Sharpe,Day'Ron,Sharpe,True
3785,201594,Walter Sharpe,Walter,Sharpe,False
3786,1117,John Shasky,John,Shasky,False
3787,78128,Ron Shavlik,Ron,Shavlik,False
3788,216,Brian Shaw,Brian,Shaw,False
3789,1745,Casey Shaw,Casey,Shaw,False
3790,1629621,Marial Shayok,Marial,Shayok,False
3791,78130,Bob Shea,Bob,Shea,False
3792,78131,Fred Sheffield,Fred,Sheffield,False
3793,78132,Craig Shelton,Craig,Shelton,False
3794,78133,Lonnie Shelton,Lonnie,Shelton,False
3795,203129,Tornike Shengelia,Tornike,Shengelia,False
3796,1852,Jeff Sheppard,Jeff,Sheppard,False
3797,78135,Steve Sheppard,Steve,Sheppard,False
3798,78136,Edmund Sherod,Edmund,Sherod,False
3799,78653,Charlie Shipp,Charlie,Shipp,False
3800,2321,Paul Shirley,Paul,Shirley,False
3801,78138,Gene Short,Gene,Short,False
3802,78139,Purvis Short,Purvis,Short,False
3803,78140,Dexter Shouse,Dexter,Shouse,False
3804,78141,Dick Shrider,Dick,Shrider,False
3805,78142,Gene Shue,Gene,Shue,False
3806,78143,John Shumate,John,Shumate,False
3807,202697,Iman Shumpert,Iman,Shumpert,False
3808,203144,Alexey Shved,Alexey,Shved,False
3809,1627783,Pascal Siakam,Pascal,Siakam,True
3810,1626296,Jordan Sibert,Jordan,Sibert,False
3811,78144,Sam Sibert,Sam,Sibert,False
3812,78145,Mark Sibley,Mark,Sibley,False
3813,78146,Jerry Sichting,Jerry,Sichting,False
3814,78147,Larry Siegfried,Larry,Siegfried,False
3815,78148,Ralph Siewert,Ralph,Siewert,False
3816,78149,Jack Sikma,Jack,Sikma,False
3817,78150,James Silas,James,Silas,False
3818,78151,Paul Silas,Paul,Silas,False
3819,202918,Xavier Silas,Xavier,Silas,False
3820,202081,Garret Siler,Garret,Siler,False
3821,78152,Mike Silliman,Mike,Silliman,False
3822,1629735,Chris Silva,Chris,Silva,True
3823,101134,Wayne Simien,Wayne,Simien,False
3824,1627732,Ben Simmons,Ben,Simmons,True
3825,2250,Bobby Simmons,Bobby,Simmons,False
3826,200759,Cedric Simmons,Cedric,Simmons,False
3827,78153,Connie Simmons,Connie,Simmons,False
3828,78154,Johnny Simmons,Johnny,Simmons,False
3829,203613,Jonathon Simmons,Jonathon,Simmons,False
3830,1628424,Kobi Simmons,Kobi,Simmons,False
3831,1489,Lionel Simmons,Lionel,Simmons,False
3832,1630603,Aamir Simms,Aamir,Simms,True
3833,1750,Miles Simon,Miles,Simon,False
